Branch,Code,Variable,year,value
Highland,P19M,Young Adult Program Attendance,2010,44
Highland,P20M,Adult Circulation,2010,317914
Highland,P21M,Adult Library Programs,2010,42
Highland,P22M,Adult Program Attendance,2010,487
Highland,P23M,Other Circulation,2010,0
Highland,P24M,Total Circulation,2010,539971
Highland,NA,Total Programs (Manually Input),2010,NA
Highland,NA,Total Attendance (Manually Input),2010,NA
Highland,C01M,Print Materials,2010,102588
Highland,C02M,Audio Materials,2010,6999
Highland,C03M,Video Materials,2010,7265
Highland,C04M,Multi-format Materials,2010,104
Highland,C05M,Other Physical Materials,2010,95
Highland,C06M,Total Materials (Manually Input),2010,117051
Highland,C07M,Print Serial Subscriptions,2010,97
Merriam Park,P01M,Population of the Legal Service Area,2010,29096
Merriam Park,P02aM,Registered Borrowers - Residents,2010,20162
Merriam Park,P02bM,Registered Borrowers - Reciprocal,2010,5334
Merriam Park,P02cM,Total Registered Borrowers (Manually Input),2010,25496
Merriam Park,P04M,Library Visits,2010,208081
Merriam Park,P06M,Reference Transactions,2010,29952
Merriam Park,P08M,Stations,2010,0
Merriam Park,P09M,Users of Public Internet Computers,2010,30490
Merriam Park,P15M,Children's Circulation,2010,147407
Merriam Park,NA,Wireless Sessions,2010,NA
Merriam Park,P16M,Children's Library Programs,2010,103
Merriam Park,P17M,Children's Program Attendance,2010,3801
Merriam Park,P18M,Yound Adult Library Programs,2010,13
Merriam Park,P19M,Young Adult Program Attendance,2010,167
Merriam Park,P20M,Adult Circulation,2010,263512
Merriam Park,P21M,Adult Library Programs,2010,31
Merriam Park,P22M,Adult Program Attendance,2010,559
Merriam Park,P23M,Other Circulation,2010,0
Merriam Park,P24M,Total Circulation,2010,410919
Merriam Park,NA,Total Programs (Manually Input),2010,NA
Merriam Park,NA,Total Attendance (Manually Input),2010,NA
Merriam Park,C01M,Print Materials,2010,67834
Merriam Park,C02M,Audio Materials,2010,7052
Merriam Park,C03M,Video Materials,2010,7138
Merriam Park,C04M,Multi-format Materials,2010,31
Merriam Park,C05M,Other Physical Materials,2010,95
Merriam Park,C06M,Total Materials (Manually Input),2010,82150
Merriam Park,C07M,Print Serial Subscriptions,2010,135
Rice Street,P01M,Population of the Legal Service Area,2010,27466
Rice Street,P02aM,Registered Borrowers - Residents,2010,17937
Rice Street,P02bM,Registered Borrowers - Reciprocal,2010,2994
Rice Street,P02cM,Total Registered Borrowers (Manually Input),2010,20931
Rice Street,P04M,Library Visits,2010,271351
Rice Street,P06M,Reference Transactions,2010,17472
Rice Street,P08M,Stations,2010,0
Rice Street,P09M,Users of Public Internet Computers,2010,49475
Rice Street,NA,Wireless Sessions,2010,NA
Rice Street,P15M,Children's Circulation,2010,58877
Rice Street,P16M,Children's Library Programs,2010,185
Rice Street,P17M,Children's Program Attendance,2010,2788
Rice Street,P18M,Yound Adult Library Programs,2010,66
Rice Street,P19M,Young Adult Program Attendance,2010,575
Rice Street,P20M,Adult Circulation,2010,71100
Rice Street,P21M,Adult Library Programs,2010,104
Rice Street,P22M,Adult Program Attendance,2010,850
Rice Street,P23M,Other Circulation,2010,0
Rice Street,P24M,Total Circulation,2010,129977
Rice Street,NA,Total Programs (Manually Input),2010,NA
Rice Street,NA,Total Attendance (Manually Input),2010,NA
Rice Street,C01M,Print Materials,2010,38506
Rice Street,C02M,Audio Materials,2010,2665
Rice Street,C03M,Video Materials,2010,5693
Rice Street,C04M,Multi-format Materials,2010,29
Rice Street,C05M,Other Physical Materials,2010,95
Rice Street,C06M,Total Materials (Manually Input),2010,46988
Rice Street,C07M,Print Serial Subscriptions,2010,49
Riverview,P01M,Population of the Legal Service Area,2010,15083
Riverview,P02aM,Registered Borrowers - Residents,2010,11202
Riverview,P02bM,Registered Borrowers - Reciprocal,2010,1715
Riverview,P02cM,Total Registered Borrowers (Manually Input),2010,12917
Riverview,P04M,Library Visits,2010,88064
Riverview,P06M,Reference Transactions,2010,8268
Riverview,P08M,Stations,2010,0
Riverview,P09M,Users of Public Internet Computers,2010,12941
Riverview,NA,Wireless Sessions,2010,NA
Riverview,P15M,Children's Circulation,2010,38352
Riverview,P16M,Children's Library Programs,2010,137
Riverview,P17M,Children's Program Attendance,2010,2908
Riverview,P18M,Yound Adult Library Programs,2010,14
Riverview,P19M,Young Adult Program Attendance,2010,133
Riverview,P20M,Adult Circulation,2010,37292
Riverview,P21M,Adult Library Programs,2010,46
Riverview,P22M,Adult Program Attendance,2010,333
Riverview,P23M,Other Circulation,2010,0
Riverview,P24M,Total Circulation,2010,75644
Riverview,NA,Total Programs (Manually Input),2010,NA
Riverview,NA,Total Attendance (Manually Input),2010,NA
Riverview,C01M,Print Materials,2010,22079
Riverview,C02M,Audio Materials,2010,2086
Riverview,C03M,Video Materials,2010,3377
Riverview,C04M,Multi-format Materials,2010,44
Riverview,C05M,Other Physical Materials,2010,93
Riverview,C06M,Total Materials (Manually Input),2010,27679
Riverview,C07M,Print Serial Subscriptions,2010,49
St. Anthony Park,P01M,Population of the Legal Service Area,2010,9014
St. Anthony Park,P02aM,Registered Borrowers - Residents,2010,8956
St. Anthony Park,P02bM,Registered Borrowers - Reciprocal,2010,6535
St. Anthony Park,P02cM,Total Registered Borrowers (Manually Input),2010,15491
St. Anthony Park,P04M,Library Visits,2010,134989
St. Anthony Park,P06M,Reference Transactions,2010,23920
St. Anthony Park,P08M,Stations,2010,0
St. Anthony Park,P09M,Users of Public Internet Computers,2010,12222
St. Anthony Park,NA,Wireless Sessions,2010,NA
St. Anthony Park,P15M,Children's Circulation,2010,115622
St. Anthony Park,P16M,Children's Library Programs,2010,146
St. Anthony Park,P17M,Children's Program Attendance,2010,6304
St. Anthony Park,P18M,Yound Adult Library Programs,2010,3
St. Anthony Park,P19M,Young Adult Program Attendance,2010,135
St. Anthony Park,P20M,Adult Circulation,2010,105434
St. Anthony Park,P21M,Adult Library Programs,2010,58
St. Anthony Park,P22M,Adult Program Attendance,2010,1029
St. Anthony Park,P23M,Other Circulation,2010,0
St. Anthony Park,P24M,Total Circulation,2010,221056
St. Anthony Park,C01M,Print Materials,2010,41918
St. Anthony Park,C02M,Audio Materials,2010,3984
St. Anthony Park,C03M,Video Materials,2010,4111
St. Anthony Park,C04M,Multi-format Materials,2010,29
St. Anthony Park,C05M,Other Physical Materials,2010,94
St. Anthony Park,C06M,Total Materials (Manually Input),2010,50136
St. Anthony Park,C07M,Print Serial Subscriptions,2010,89
St. Paul Bookmobile,P01M,Population of the Legal Service Area,2010,NA
St. Paul Bookmobile,P02aM,Registered Borrowers - Residents,2010,9097
St. Paul Bookmobile,P02bM,Registered Borrowers - Reciprocal,2010,303
St. Paul Bookmobile,P02cM,Total Registered Borrowers (Manually Input),2010,9400
St. Paul Bookmobile,P04M,Library Visits,2010,139369
St. Paul Bookmobile,P06M,Reference Transactions,2010,38870
St. Paul Bookmobile,P08M,Stations,2010,14
St. Paul Bookmobile,P09M,Users of Public Internet Computers,2010,0
St. Paul Bookmobile,P15M,Children's Circulation,2010,72712
St. Paul Bookmobile,P16M,Children's Library Programs,2010,18
St. Paul Bookmobile,P17M,Children's Program Attendance,2010,17426
St. Paul Bookmobile,P18M,Young Adult Library Programs,2010,0
St. Paul Bookmobile,P19M,Young Adult Program Attendance,2010,0
St. Paul Bookmobile,P20M,Adult Circulation,2010,41891
St. Paul Bookmobile,P21M,Adult Library Programs,2010,2
St. Paul Bookmobile,P22M,Adult Program Attendance,2010,600
St. Paul Bookmobile,P23M,Other Circulation,2010,0
St. Paul Bookmobile,P24M,Total Circulation,2010,114603
St. Paul Bookmobile,NA,Total Programs,2010,NA
St. Paul Bookmobile,C01M,Print Materials,2010,14978
St. Paul Bookmobile,C02M,Audio Materials,2010,552
St. Paul Bookmobile,C03M,Video Materials,2010,2832
St. Paul Bookmobile,C04M,Multi-format Materials,2010,1
St. Paul Bookmobile,C05M,Other Physical Materials,2010,92
St. Paul Bookmobile,C06M,Total Materials (Manually Input),2010,18455
St. Paul Bookmobile,C07M,Print Serial Subscriptions,2010,27
Rondo Community Outreach,P01M,Population of the Legal Service Area,2010,32082
Rondo Community Outreach,P02aM,Registered Borrowers - Residents,2010,33278
Rondo Community Outreach,P02bM,Registered Borrowers - Reciprocal,2010,7310
Rondo Community Outreach,P02cM,Total Registered Borrowers (Manually Input),2010,40588
Rondo Community Outreach,P04M,Library Visits,2010,445480
Rondo Community Outreach,P06M,Reference Transactions,2010,74984
Rondo Community Outreach,P08M,Stations,2010,0
Rondo Community Outreach,P09M,Users of Public Internet Computers,2010,75481
Rondo Community Outreach,P15M,Children's Circulation,2010,97024
Rondo Community Outreach,P16M,Children's Library Programs,2010,288
Rondo Community Outreach,P17M,Children's Program Attendance,2010,6975
Rondo Community Outreach,P18M,Yound Adult Library Programs,2010,27
Rondo Community Outreach,P19M,Young Adult Program Attendance,2010,319
Rondo Community Outreach,P20M,Adult Circulation,2010,126781
Rondo Community Outreach,P21M,Adult Library Programs,2010,459
Rondo Community Outreach,P22M,Adult Program Attendance,2010,7002
Rondo Community Outreach,P23M,Other Circulation,2010,0
Rondo Community Outreach,P24M,Total Circulation,2010,223805
Rondo Community Outreach,C01M,Print Materials,2010,78553
Rondo Community Outreach,C02M,Audio Materials,2010,5823
Rondo Community Outreach,C03M,Video Materials,2010,8811
Rondo Community Outreach,C04M,Multi-format Materials,2010,141
Rondo Community Outreach,C05M,Other Physical Materials,2010,96
Rondo Community Outreach,C06M,Total Materials (Manually Input),2010,93424
Rondo Community Outreach,C07M,Print Serial Subscriptions,2010,93
Central,P01M,Population of the Legal Service Area,2010,17423
Central,P02aM,Registered Borrowers - Residents,2010,44929
Central,P02bM,Registered Borrowers - Reciprocal,2010,26135
Central,P02cM,Total Registered Borrowers (Manually Input),2010,71064
Central,P04M,Library Visits,2010,288438
Central,P06M,Reference Transactions,2010,111283
Central,P08M,Stations,2010,1
Central,P09M,Users of Public Internet Computers,2010,47039
Central,NA,Wireless Sessions,2010,NA
Central,P15M,Children's Circulation,2010,82515
Central,P16M,Children's Library Programs,2010,297
Central,P17M,Children's Program Attendance,2010,10472
Central,P18M,Yound Adult Library Programs,2010,156
Central,P19M,Young Adult Program Attendance,2010,2641
Central,P20M,Adult Circulation,2010,178806
Central,P21M,Adult Library Programs,2010,340
Central,P22M,Adult Program Attendance,2010,5395
Central,P23M,Other Circulation,2010,0
Central,P24M,Total Circulation,2010,261321
Central,C01M,Print Materials,2010,363214
Central,C02M,Audio Materials,2010,6703
Central,C03M,Video Materials,2010,7330
Central,C04M,Multi-format Materials,2010,42
Central,C05M,Other Physical Materials,2010,95
Central,C06M,Total Materials (Manually Input),2010,377384
Central,C07M,Print Serial Subscriptions,2010,498
Sun Ray,P01M,Population of the Legal Service Area,2010,20521
Sun Ray,P02aM,Registered Borrowers - Residents,2010,20454
Sun Ray,P02bM,Registered Borrowers - Reciprocal,2010,6796
Sun Ray,P02cM,Total Registered Borrowers (Manually Input),2010,27250
Sun Ray,P04M,Library Visits,2010,250423
Sun Ray,P06M,Reference Transactions,2010,25636
Sun Ray,P08M,Stations,2010,0
Sun Ray,P09M,Users of Public Internet Computers,2010,45876
Sun Ray,NA,Wireless Sessions,2010,NA
Sun Ray,P15M,Children's Circulation,2010,89518
Sun Ray,P16M,Children's Library Programs,2010,160
Sun Ray,P17M,Children's Program Attendance,2010,3123
Sun Ray,P18M,Yound Adult Library Programs,2010,39
Sun Ray,P19M,Young Adult Program Attendance,2010,641
Sun Ray,P20M,Adult Circulation,2010,133783
Sun Ray,P21M,Adult Library Programs,2010,138
Sun Ray,P22M,Adult Program Attendance,2010,952
Sun Ray,P23M,Other Circulation,2010,0
Sun Ray,P24M,Total Circulation,2010,223301
Sun Ray,C01M,Print Materials,2010,54210
Sun Ray,C02M,Audio Materials,2010,4246
Sun Ray,C03M,Video Materials,2010,6438
Sun Ray,C04M,Multi-format Materials,2010,10
Sun Ray,C05M,Other Physical Materials,2010,95
Sun Ray,C06M,Total Materials (Manually Input),2010,64999
Sun Ray,C07M,Print Serial Subscriptions,2010,120
West 7th Street Popular,P01M,Population of the Legal Service Area,2010,4294
West 7th Street Popular,P02aM,Registered Borrowers - Residents,2010,3095
West 7th Street Popular,P02bM,Registered Borrowers - Reciprocal,2010,404
West 7th Street Popular,P02cM,Total Registered Borrowers (Manually Input),2010,3499
West 7th Street Popular,P04M,Library Visits,2010,32320
West 7th Street Popular,P06M,Reference Transactions,2010,2964
West 7th Street Popular,P08M,Stations,2010,0
West 7th Street Popular,P09M,Users of Public Internet Computers,2010,6922
West 7th Street Popular,NA,Wireless Sessions,2010,NA
West 7th Street Popular,P15M,Children's Circulation,2010,23094
West 7th Street Popular,P16M,Children's Library Programs,2010,49
West 7th Street Popular,P17M,Children's Program Attendance,2010,2153
West 7th Street Popular,P18M,Yound Adult Library Programs,2010,13
West 7th Street Popular,P19M,Young Adult Program Attendance,2010,162
West 7th Street Popular,P20M,Adult Circulation,2010,27425
West 7th Street Popular,P21M,Adult Library Programs,2010,35
West 7th Street Popular,P22M,Adult Program Attendance,2010,1100
West 7th Street Popular,NA,Total Programs,2010,NA
West 7th Street Popular,NA,Total Program Attendance,2010,NA
West 7th Street Popular,P23M,Other Circulation,2010,0
West 7th Street Popular,P24M,Total Circulation,2010,50519
West 7th Street Popular,C01M,Print Materials,2010,7823
West 7th Street Popular,C02M,Audio Materials,2010,1123
West 7th Street Popular,C03M,Video Materials,2010,1444
West 7th Street Popular,C04M,Multi-format Materials,2010,0
West 7th Street Popular,C05M,Other Physical Materials,2010,94
West 7th Street Popular,C06M,Total Materials (Manually Input),2010,10484
West 7th Street Popular,C07M,Print Serial Subscriptions,2010,13
Arlington Hills,C01M,Print Materials,2011,18506
Arlington Hills,C02M,Audio Materials,2011,2125
Arlington Hills,C03M,Video Materials,2011,3865
Arlington Hills,C04M,Multi-format Materials,2011,23
Arlington Hills,C05M,Other Physical Materials,2011,94
Arlington Hills,C06M,Total Materials (Manually Input),2011,24613
Arlington Hills,C07M,Print Serial Subscriptions,2011,40
Arlington Hills,P01M,Population of the Legal Service Area,2011,28380
Arlington Hills,P02aM,Registered Borrowers - Residents,2011,12835
Arlington Hills,P02bM,Registered Borrowers - Reciprocal,2011,1165
Arlington Hills,P02cM,Total Registered Borrowers/Users,2011,14e3
Arlington Hills,P04M,Library Visits,2011,77737
Arlington Hills,P06M,Reference Transactions,2011,9932
Arlington Hills,P08M,Stations,2011,NA
Arlington Hills,P09M,Annual Public Internet Computer Sessions,2011,23133
Arlington Hills,P15M,Wireless Sessions,2011,NA
Arlington Hills,P16M,Children's Circulation,2011,32148
Arlington Hills,P17M,Children's Library Programs,2011,118
Arlington Hills,P18M,Children's Program Attendance,2011,2667
Arlington Hills,P19M,Young Adult Library Programs,2011,14
Arlington Hills,P20M,Young Adult Program Attendance,2011,182
Arlington Hills,P21M,Adult Circulation,2011,25073
Arlington Hills,P22M,Adult Library Programs,2011,110
Arlington Hills,P23M,Adult Program Attendance,2011,1100
Arlington Hills,P24M,Other Circulation,2011,0
Arlington Hills,P25M,Total Circulation (Manually Input),2011,57221
Arlington Hills,P26M,Total Programs (Manually Input),2011,242
Dayton's Bluff,P01M,Population of the Legal Service Area,2011,14457
Dayton's Bluff,P02aM,Registered Borrowers - Residents,2011,9150
Dayton's Bluff,P02bM,Registered Borrowers - Reciprocal,2011,2777
Dayton's Bluff,P02cM,Total Registered Borrowers,2011,11927
Dayton's Bluff,P04M,Library Visits,2011,130254
Dayton's Bluff,P06M,Reference Transactions,2011,30446
Dayton's Bluff,P08M,Stations,2011,0
Dayton's Bluff,P09M,Annual Public Internet Computer Sessions,2011,20509
Dayton's Bluff,NA,Wireless Sessions,2011,NA
Dayton's Bluff,P15M,Children's Circulation,2011,33738
Dayton's Bluff,P16M,Children's Library Programs,2011,158
Dayton's Bluff,P17M,Children's Program Attendance,2011,5680
Dayton's Bluff,P18M,Young Adult Library Programs,2011,20
Dayton's Bluff,P19M,Young Adult Program Attendance,2011,296
Dayton's Bluff,P20M,Adult Circulation,2011,40804
Dayton's Bluff,P21M,Adult Library Programs,2011,272
Dayton's Bluff,P22M,Adult Program Attendance,2011,2403
Dayton's Bluff,P23M,Other Circulation,2011,0
Dayton's Bluff,P24M,Total Circulation (Manually Input),2011,74542
Dayton's Bluff,P25M,Total Programs (Manually Input),2011,450
Dayton's Bluff,P26M,Total Attendance (Manually Input),2011,8379
Dayton's Bluff,C01M,Print Materials,2011,25024
Dayton's Bluff,C02M,Audio Materials,2011,3209
Dayton's Bluff,C03M,Video Materials,2011,5812
Dayton's Bluff,C04M,Multi-format Materials,2011,19
Dayton's Bluff,C05M,Other Physical Materials,2011,94
Dayton's Bluff,C06M,Total Materials (Manually Input),2011,34158
Dayton's Bluff,C07M,Print Serial Subscriptions,2011,36
Hamline Midway,P01M,Population of the Legal Service Area,2011,15989
Hamline Midway,P02aM,Registered Borrowers - Residents,2011,8266
Hamline Midway,P02bM,Registered Borrowers - Reciprocal,2011,1338
Hamline Midway,P02cM,Total Registered Borrowers,2011,9604
Hamline Midway,P04M,Library Visits,2011,98393
Hamline Midway,P06M,Reference Transactions,2011,15288
Hamline Midway,P08M,Stations,2011,0
Hamline Midway,P09M,Users of Public Internet Computers,2011,16265
Hamline Midway,P15M,Children's Circulation,2011,47641
Hamline Midway,P16M,Children's Library Programs,2011,136
Hamline Midway,P17M,Children's Program Attendance,2011,3133
Hamline Midway,P18M,Yound Adult Library Programs,2011,18
Hamline Midway,P19M,Young Adult Program Attendance,2011,216
Hamline Midway,P20M,Adult Circulation,2011,51300
Hamline Midway,P21M,Adult Library Programs,2011,53
Hamline Midway,P22M,Adult Program Attendance,2011,317
Hamline Midway,P23M,Other Circulation,2011,0
Hamline Midway,P24M,Total Circulation,2011,98941
Hamline Midway,NA,Total Programs (Manually Input),2011,NA
Hamline Midway,NA,Total Attendance (Manually Input),2011,NA
Hamline Midway,C01M,Print Materials,2011,19401
Hamline Midway,C02M,Audio Materials,2011,2423
Hamline Midway,C03M,Video Materials,2011,2757
Hamline Midway,C04M,Multi-format Materials,2011,4
Hamline Midway,C05M,Other Physical Materials,2011,93
Hamline Midway,C06M,Total Materials (Manually Input),2011,24678
Hamline Midway,C07M,Print Serial Subscriptions,2011,48
Hamline Midway,NA,Wireless Sessions,2011,NA
Hayden Heights,P01M,Population of the Legal Service Area,2011,29960
Hayden Heights,P02aM,Registered Borrowers - Residents,2011,17105
Hayden Heights,P02bM,Registered Borrowers - Reciprocal,2011,4678
Hayden Heights,P02cM,Total Registered Borrowers (Manually Input),2011,21783
Hayden Heights,P04M,Library Visits,2011,106013
Hayden Heights,P06M,Reference Transactions,2011,19890
Hayden Heights,P08M,Stations,2011,0
Hayden Heights,P09M,Users of Public Internet Computers,2011,23820
Hayden Heights,NA,Wireless Sessions,2011,NA
Hayden Heights,P15M,Children's Circulation,2011,57724
Hayden Heights,P16M,Children's Library Programs,2011,88
Hayden Heights,P17M,Children's Program Attendance,2011,1799
Hayden Heights,P18M,Yound Adult Library Programs,2011,12
Hayden Heights,P19M,Young Adult Program Attendance,2011,221
Hayden Heights,P20M,Adult Circulation,2011,57733
Hayden Heights,P21M,Adult Library Programs,2011,47
Hayden Heights,P22M,Adult Program Attendance,2011,808
Hayden Heights,P23M,Other Circulation,2011,0
Hayden Heights,P24M,Total Circulation,2011,115457
Hayden Heights,NA,Total Programs (Manually Input),2011,NA
Hayden Heights,NA,Total Attendance (Manually Input),2011,NA
Hayden Heights,C01M,Print Materials,2011,40782
Hayden Heights,C02M,Audio Materials,2011,2736
Hayden Heights,C03M,Video Materials,2011,4426
Hayden Heights,C04M,Multi-format Materials,2011,15
Hayden Heights,C05M,Other Physical Materials,2011,96
Hayden Heights,C06M,Total Materials (Manually Input),2011,48055
Hayden Heights,C07M,Print Serial Subscriptions,2011,65
Highland,P01M,Population of the Legal Service Area,2011,37210
Highland,P02aM,Registered Borrowers - Residents,2011,28308
Highland,P02bM,Registered Borrowers - Reciprocal,2011,7607
Highland,P02cM,Total Registered Borrowers (Manually Input),2011,35915
Highland,P04M,Library Visits,2011,276215
Highland,P06M,Reference Transactions,2011,64688
Highland,P08M,Stations,2011,0
Highland,P09M,Users of Public Internet Computers,2011,38325
Highland,NA,Wireless Sessions,2011,NA
Highland,P15M,Children's Circulation,2011,201060
Highland,P16M,Children's Library Programs,2011,67
Highland,P17M,Children's Program Attendance,2011,2083
Highland,P18M,Yound Adult Library Programs,2011,17
Highland,P19M,Young Adult Program Attendance,2011,257
Highland,P20M,Adult Circulation,2011,284154
Highland,P21M,Adult Library Programs,2011,98
Highland,P22M,Adult Program Attendance,2011,598
Highland,P23M,Other Circulation,2011,0
Highland,P24M,Total Circulation,2011,485214
Highland,NA,Total Programs (Manually Input),2011,NA
Highland,NA,Total Attendance (Manually Input),2011,NA
Highland,C01M,Print Materials,2011,85344
Highland,C02M,Audio Materials,2011,5814
